STA,LAT,LON,VALUE
內部I031,23.59247428,120.3013698,-0.7
,,,
內部X113,23.68012206,120.4798831,1.3
大東堤防0+00,23.69895236,120.4597849,0.6
WR4K,23.73342047,120.5177384,0.7
北港NO21,23.58373289,120.2992019,0.7
北港NO27,23.58957992,120.3083512,-1.7
,,,
大溝BM,23.56630683,120.2108686,2.3
斗南NO05,23.68585111,120.4811449,1.0
G5124,23.70059431,120.3643078,-2.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
客厝國小監測井,23.62666036,120.3342548,-1.6
,,,
燦林國小BM,23.57325369,120.2460738,1.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
THSRYL19,23.66377164,120.3687111,-3.2
PMB003,23.70865789,120.4028965,-1.5
虎尾國小GPS,23.71439892,120.431183,-1.2
虎尾國小監測井,23.71528528,120.4315813,-1.1
客厝國小GPS,23.62743814,120.3345448,-1.4
客厝國小水位井,23.62670556,120.3342643,-1.7
客厝國小水位井,23.62670556,120.3342643,-1.7
,,,
,,,
,,,
西螺NO27,23.79715031,120.4348566,-1.1
,,,
,,,
元長國小GPS,23.65279331,120.3097836,-2.3
元長國小監測井,23.65333964,120.3087809,-2.8
,,,
鎮南國小GPS,23.69941861,120.5397994,1.8
光復國小監測井,23.74131628,120.4024927,-2.4
豐榮國小監測井,23.79074175,120.3109901,-0.3
豐榮國小GPS,23.79141222,120.3115067,0.0
,,,
鎮南國小監測井,23.69843986,120.5386163,1.5
,,,
,,,
,,,
燦林國小監測井,23.57491719,120.2464953,0.9
燦林國小GPS,23.57418017,120.2471951,0.9
,,,
,,,
,,,
林內國小GPS,23.75986994,120.6184441,0.0
,,,
,,,
拯民國小GPS,23.70894114,120.4084653,-1.5
秀潭國小監測井,23.65887069,120.3495703,-2.9
,,,
,,,
,,,
,,,
,,,
,,,
拯民國小監測井,23.70935156,120.4071788,-1.7
,,,
斗六水位站,23.70489089,120.5338571,1.5
,,,
內部3128,23.74388175,120.6019128,-0.1
內部X119,23.69705703,120.5381799,1.8
,,,
,,,
,,,
,,,
,,,
永定水位站,23.79767142,120.4195653,-1.0
,,,
,,,
水利雲121-1,23.60379469,120.1773299,2.5
,,,
,,,
水利雲71-1,23.65852942,120.3586787,-4.1
,,,
後安水位站,23.79013808,120.2346133,0.8
,,,
,,,
北港水位站,23.57853181,120.3011987,0.9
,,,
,,,
,,,
水利雲132,23.68982231,120.4147679,-1.7
,,,
水利雲134,23.7763725,120.2299845,1.1
水利雲135,23.69423075,120.1872165,-1.8
水利雲136,23.55953547,120.3303814,0.4
,,,
水利雲138,23.61387194,120.3336726,-1.5
水利雲139,23.60891067,120.3327374,-1.6
,,,
WRA05,23.74444767,120.4090604,-1.9
,,,
WRA07,23.77926481,120.308843,-0.1
,,,
,,,
北辰國小GPS,23.57827431,120.3021699,1.1
,,,
,,,
,,,
,,,
,,,
WRA04-1,23.65141311,120.1566935,0.9
WRA10,23.69871722,120.1991318,0.4
,,,
,,,
,,,
,,,
,,,
內部1119,23.69327739,120.4796055,1.3
內部F012,23.69828847,120.203537,0.2
內部F015,23.67753994,120.2677709,-2.6
內部F016,23.67981103,120.2803272,-1.8
內部F017,23.68660258,120.2943695,-2.0
內部F018,23.69247108,120.3062121,-2.0
內部F019,23.7005495,120.3343218,-2.5
內部F020,23.70303158,120.3446545,-2.4
,,,
,,,
,,,
,,,
,,,
內部G042,23.714702,120.1979456,0.3
,,,
內部I026,23.68414636,120.3205707,-3.7
內部X114,23.70249583,120.1930193,0.4
內部X120,23.69780531,120.324079,-2.7
水利雲140,23.63044011,120.1521139,1.3
,,,
,,,
,,,
,,,
,,,
水利雲146,23.73780597,120.1975591,1.4
水利雲147,23.74671778,120.2080492,1.4
水利雲148,23.7284915,120.2017746,0.8
,,,
,,,
,,,
水利雲152,23.75441453,120.3786831,-3.5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
水利雲162,23.63807964,120.3398523,-1.3
,,,
,,,
,,,
,,,
,,,
,,,
水利雲169,23.73774494,120.3966434,-4.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
水利雲54-1,23.72910172,120.4393188,-0.9
,,,
北港監測井,23.57853181,120.3011987,0.9
,,,
元長水位站,23.65334008,120.3088789,-2.6
六合水位站,23.76888681,120.5625037,-0.4
石榴水位站,23.72048019,120.5860564,0.5
,,,
,,,
,,,
,,,
烏塗水位站,23.7672315,120.5980057,0.2
,,,
,,,
,,,
,,,
GD01,23.71900431,120.4337228,-1.2
GI02,23.72775444,120.5221337,1.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
水利雲185,23.65682722,120.1761948,-1.2
,,,
,,,
水利嘉37-1,23.55760008,120.3402354,0.2
,,,
西螺水位站,23.79628031,120.4669591,-0.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
G5067,23.66063497,120.3127225,-2.5
,,,
,,,
內部F014A,23.6835965,120.2447457,-1.0
內部G043A,23.67955442,120.1813759,-0.8
內部I022,23.75898072,120.347357,-2.9
,,,
水利雲189,23.79718275,120.2590357,0.3
水利雲190,23.77190247,120.5406534,0.0
,,,
,,,
,,,
,,,
水利雲195,23.68656436,120.1992549,-0.2
水利雲196,23.66764942,120.2101144,-1.5
,,,
,,,
,,,
,,,
,,,
,,,
YLWRA27,23.65710042,120.3473048,-3.5
YLWRA28,23.64396517,120.3124371,-2.8
內部F026A,23.71882278,120.4334686,-1.2
,,,
YLL06C,23.58894022,120.3769665,-0.2
,,,
水利雲200,23.77189375,120.4808924,-0.7
水利雲201,23.73854994,120.3993174,-3.7
,,,
水利雲203,23.73707144,120.3975979,-5.4
,,,
,,,
,,,
,,,
水利雲208,23.57255944,120.226074,1.8
水利雲209,23.56303283,120.3480545,0.8
水利雲50-2,23.74838361,120.4183322,-2.0
水利雲81-1,23.79744714,120.2446582,0.5
YLWRA29,23.79601758,120.404961,-0.8
,,,
,,,
YLWRA32,23.76794664,120.5883984,0.2
,,,
,,,
崙豐國小監測井,23.72105847,120.2084298,0.2
YLWRA35,23.71279653,120.1823649,0.7
,,,
,,,
水利雲212,23.75968728,120.2229507,0.7
,,,
水利雲214,23.62053825,120.4054035,-1.3
水利雲215,23.66724403,120.2209984,-1.7
水利雲216,23.56877253,120.2682185,-0.3
水利雲217,23.60665403,120.3061353,-1.4
,,,
水利雲16-1,23.67938208,120.3131343,-5.1
,,,
,,,
豐榮國小GF,23.79116264,120.3122341,-0.2
水燦林國小GF,23.57317772,120.2471616,1.1
,,,
,,,
,,,
,,,
